DATE,DNXRSA
2010-02-01,127.730061658026
2010-03-01,128.344168556461
2010-04-01,129.031221770401
2010-05-01,128.300842069214
2010-06-01,127.38205389685601
2010-07-01,126.186158227896
2010-08-01,125.64518223413602
2010-09-01,125.305604363379
2010-10-01,125.39655380651001
2010-11-01,124.811912464813
2010-12-01,125.075095064639
2011-01-01,124.992577384325
2011-02-01,124.381050078577
2011-03-01,123.278158802899
2011-04-01,123.577094742061
2011-05-01,123.77909613795201
2011-06-01,124.15381709594101
2011-07-01,123.56145426439801
2011-08-01,123.815472717832
2011-09-01,123.737150295878
2011-10-01,124.374903034467
2011-11-01,124.726544468192
2011-12-01,124.680547110231
2012-01-01,125.11520319491801
2012-02-01,124.84157570138201
2012-03-01,126.109831830974
2012-04-01,126.825659922435
2012-05-01,128.09886257062402
2012-06-01,129.19687035344998
2012-07-01,130.379070495495
2012-08-01,130.95097423015102
2012-09-01,132.273712241174
2012-10-01,133.144424562169
2012-11-01,134.608066264064
2012-12-01,135.391376048771
2013-01-01,136.458753643184
2013-02-01,137.02847585357298
2013-03-01,138.01472796731198
2013-04-01,139.02944610967
2013-05-01,140.355647224632
2013-06-01,141.41778959657802
2013-07-01,143.168394551068
2013-08-01,144.527564574562
2013-09-01,145.67751998006798
2013-10-01,146.0232276992
2013-11-01,146.760312198317
2013-12-01,147.694541308871
2014-01-01,148.58832947195899
2014-02-01,149.257627589634
2014-03-01,150.114845464666
2014-04-01,150.989472723682
2014-05-01,151.744936979072
2014-06-01,152.40593179257
2014-07-01,152.938312605219
2014-08-01,153.925173273865
2014-09-01,154.993271322982
2014-10-01,156.67611384053
2014-11-01,157.867329527886
2014-12-01,159.799952989693
2015-01-01,160.958280328215
2015-02-01,163.843957256168
2015-03-01,164.51088073529
2015-04-01,166.04655318248
2015-05-01,166.785318900541
2015-06-01,168.014714655217
2015-07-01,168.870923172293
2015-08-01,170.685936257731
2015-09-01,172.21986229248
2015-10-01,173.92783334254102
2015-11-01,175.25667855330002
2015-12-01,176.156906872141
2016-01-01,177.28385332253998
2016-02-01,179.462915017336
2016-03-01,180.358952317067
2016-04-01,181.39287335714198
2016-05-01,182.490650440197
2016-06-01,183.60525412480203
2016-07-01,185.009814391741
2016-08-01,186.077833024375
2016-09-01,187.567494056174
2016-10-01,188.571713563912
2016-11-01,190.708616823596
2016-12-01,191.89653022452802
2017-01-01,193.39023692743
2017-02-01,194.802711416278
2017-03-01,194.897761715122
2017-04-01,195.792596251311
2017-05-01,196.744889945946
2017-06-01,197.589150059282
2017-07-01,198.59588255390202
2017-08-01,199.818625177139
2017-09-01,201.068676418565
2017-10-01,202.254788687523
2017-11-01,204.036545463008
2017-12-01,206.19356265849098
2018-01-01,208.01937917353698
2018-02-01,210.96515907691102
2018-03-01,211.334219404361
2018-04-01,212.39860104731002
2018-05-01,213.332680617284
2018-06-01,213.965830061962
2018-07-01,214.627163473567
2018-08-01,215.298334803614
2018-09-01,215.91026902066898
2018-10-01,216.379119364528
2018-11-01,216.769658046692
2018-12-01,217.480763090853
2019-01-01,218.35249385261798
2019-02-01,220.75944043452202
2019-03-01,220.178189910986
2019-04-01,220.461848857966
2019-05-01,220.841734729145
2019-06-01,221.16534818628799
2019-07-01,221.228885783955
2019-08-01,221.573330638634
2019-09-01,222.38550888091
2019-10-01,223.54034163933
2019-11-01,224.729840911093
2019-12-01,225.49894591632702
