DATE,CONSUMER
1964-01-01,34.6292
1964-02-01,35.0578
1964-03-01,35.5116
1964-04-01,35.9241
1964-05-01,36.3619
1964-06-01,36.7495
1964-07-01,37.3749
1964-08-01,37.9725
1964-09-01,38.3619
1964-10-01,38.8160
1964-11-01,39.1144
1964-12-01,39.5067
1965-01-01,39.9919
1965-02-01,40.2656
1965-03-01,40.6841
1965-04-01,41.2328
1965-05-01,41.7653
1965-06-01,42.2325
1965-07-01,42.8655
1965-08-01,43.4745
1965-09-01,43.8852
1965-10-01,44.3817
1965-11-01,44.7965
1965-12-01,45.0223
1966-01-01,45.4362
1966-02-01,45.7660
1966-03-01,46.2038
1966-04-01,46.5219
1966-05-01,46.7555
1966-06-01,47.1738
1966-07-01,47.3985
1966-08-01,47.5609
1966-09-01,47.5988
1966-10-01,47.5898
1966-11-01,47.6853
1966-12-01,47.7621
1967-01-01,47.9230
1967-02-01,47.9998
1967-03-01,48.1734
1967-04-01,48.3754
1967-05-01,48.6466
1967-06-01,48.9846
1967-07-01,49.3687
1967-08-01,49.7733
1967-09-01,50.1811
1967-10-01,50.5313
1967-11-01,50.9189
1967-12-01,51.1914
1968-01-01,51.6150
1968-02-01,52.0255
1968-03-01,52.4650
1968-04-01,52.8549
1968-05-01,53.2923
1968-06-01,53.8707
1968-07-01,54.3549
1968-08-01,54.9208
1968-09-01,55.6814
1968-10-01,56.4586
1968-11-01,57.1440
1968-12-01,57.6796
1969-01-01,58.2598
1969-02-01,58.7712
1969-03-01,59.3802
1969-04-01,59.9796
1969-05-01,60.5526
1969-06-01,60.7603
1969-07-01,61.1069
1969-08-01,61.3273
1969-09-01,61.6716
1969-10-01,61.9935
1969-11-01,62.2428
1969-12-01,62.5065
1970-01-01,62.8220
1970-02-01,63.0308
1970-03-01,63.2040
1970-04-01,63.3147
1970-05-01,63.4326
1970-06-01,63.4018
1970-07-01,63.9002
1970-08-01,64.3114
1970-09-01,64.6383
1970-10-01,64.8064
1970-11-01,64.8670
1970-12-01,65.2077
1971-01-01,65.5265
1971-02-01,65.9068
1971-03-01,66.5403
1971-04-01,67.2618
1971-05-01,67.9418
1971-06-01,68.5616
1971-07-01,69.2465
1971-08-01,69.9052
1971-09-01,70.7952
1971-10-01,71.5708
1971-11-01,72.4942
1971-12-01,73.1669
1972-01-01,73.9491
1972-02-01,74.9702
1972-03-01,76.1145
1972-04-01,77.0567
1972-05-01,78.1100
1972-06-01,78.9548
1972-07-01,80.1192
1972-08-01,81.4022
1972-09-01,82.4469
1972-10-01,83.5159
1972-11-01,84.6459
1972-12-01,85.2601
1973-01-01,86.4774
1973-02-01,88.2587
1973-03-01,89.8555
1973-04-01,91.1278
1973-05-01,92.1588
1973-06-01,93.2486
1973-07-01,94.3252
1973-08-01,95.2833
1973-09-01,96.0072
1973-10-01,96.7889
1973-11-01,97.7758
1973-12-01,98.3507
1974-01-01,99.0661
1974-02-01,99.6755
1974-03-01,100.3000
1974-04-01,100.8969
1974-05-01,101.3631
1974-06-01,101.8050
1974-07-01,102.0747
1974-08-01,102.2474
1974-09-01,102.4773
1974-10-01,102.4838
1974-11-01,102.3167
1974-12-01,102.1348
1975-01-01,101.8961
1975-02-01,102.0968
1975-03-01,101.8983
1975-04-01,101.4266
1975-05-01,101.1605
1975-06-01,101.1020
1975-07-01,101.2303
1975-08-01,101.6154
1975-09-01,102.1820
1975-10-01,102.8868
1975-11-01,103.5724
1975-12-01,104.3327
1976-01-01,105.3067
1976-02-01,105.7993
1976-03-01,106.6009
1976-04-01,107.5967
1976-05-01,108.4721
1976-06-01,109.5540
1976-07-01,110.4870
1976-08-01,111.5089
1976-09-01,112.5009
1976-10-01,113.6538
1976-11-01,114.8258
1976-12-01,115.8047
1977-01-01,117.4460
1977-02-01,119.0561
1977-03-01,120.7850
1977-04-01,122.6189
1977-05-01,124.7425
1977-06-01,126.6021
1977-07-01,128.4482
1977-08-01,130.3103
1977-09-01,132.1193
1977-10-01,134.0856
1977-11-01,135.8857
1977-12-01,138.0303
1978-01-01,140.1161
1978-02-01,141.9138
1978-03-01,143.9343
1978-04-01,146.4146
1978-05-01,149.0085
1978-06-01,151.8328
1978-07-01,154.7939
1978-08-01,158.0594
1978-09-01,159.5009
1978-10-01,162.4463
1978-11-01,163.6561
1978-12-01,164.4319
1979-01-01,164.5578
1979-02-01,166.5728
1979-03-01,168.8796
1979-04-01,171.6716
1979-05-01,174.5899
1979-06-01,177.1190
1979-07-01,178.9457
1979-08-01,180.6784
1979-09-01,182.1091
1979-10-01,183.0422
1979-11-01,183.7381
1979-12-01,183.7811
1980-01-01,184.5328
1980-02-01,186.1825
1980-03-01,186.4768
1980-04-01,184.4534
1980-05-01,181.5900
1980-06-01,179.7834
1980-07-01,179.2444
1980-08-01,178.8059
1980-09-01,178.4358
1980-10-01,178.5137
1980-11-01,178.7189
1980-12-01,178.6930
1981-01-01,178.8278
1981-02-01,179.1355
1981-03-01,179.7672
1981-04-01,179.8026
1981-05-01,180.6257
1981-06-01,180.9787
1981-07-01,181.0389
1981-08-01,181.7163
1981-09-01,182.1541
1981-10-01,182.1093
1981-11-01,181.9570
1981-12-01,182.1427
1982-01-01,182.5058
1982-02-01,182.8523
1982-03-01,183.2281
1982-04-01,183.9807
1982-05-01,184.5700
1982-06-01,185.4950
1982-07-01,185.6313
1982-08-01,185.8902
1982-09-01,186.0751
1982-10-01,186.4431
1982-11-01,186.8212
1982-12-01,187.8525
1983-01-01,187.9850
1983-02-01,188.0155
1983-03-01,189.2555
1983-04-01,190.5952
1983-05-01,192.2174
1983-06-01,193.9867
1983-07-01,196.7685
1983-08-01,199.8275
1983-09-01,202.6723
1983-10-01,206.5272
1983-11-01,209.8765
1983-12-01,212.9273
1984-01-01,215.3294
1984-02-01,218.3293
1984-03-01,221.4447
1984-04-01,225.1752
1984-05-01,229.4791
1984-06-01,233.4139
1984-07-01,236.6163
1984-08-01,239.3469
1984-09-01,242.6202
1984-10-01,245.7603
1984-11-01,249.4085
1984-12-01,253.8307
1985-01-01,258.0207
1985-02-01,261.8266
1985-03-01,265.6662
1985-04-01,267.0666
1985-05-01,270.7536
1985-06-01,274.1502
1985-07-01,278.0219
1985-08-01,281.4733
1985-09-01,283.9485
1985-10-01,287.3445
1985-11-01,289.4827
1985-12-01,291.0726
1986-01-01,293.2369
1986-02-01,295.1257
1986-03-01,296.5500
1986-04-01,298.1537
1986-05-01,300.0401
1986-06-01,302.2153
1986-07-01,304.8941
1986-08-01,307.1586
1986-09-01,309.4476
1986-10-01,311.5267
1986-11-01,313.0498
1986-12-01,314.7442
1987-01-01,314.9624
1987-02-01,315.4150
1987-03-01,316.3179
1987-04-01,317.2838
1987-05-01,317.3388
1987-06-01,315.4610
1987-07-01,316.9613
1987-08-01,319.3443
1987-09-01,321.8901
1987-10-01,324.3088
1987-11-01,325.0352
1987-12-01,326.8654
1988-01-01,330.2658
1988-02-01,332.4077
1988-03-01,336.3189
1988-04-01,339.4857
1988-05-01,341.2281
1988-06-01,343.3542
1988-07-01,345.4046
1988-08-01,347.3149
1988-09-01,348.8891
1988-10-01,351.4912
1988-11-01,352.7994
1988-12-01,355.2863
1989-01-01,356.6080
1989-02-01,357.2369
1989-03-01,359.1454
1989-04-01,360.9494
1989-05-01,362.5440
1989-06-01,363.3048
1989-07-01,365.2478
1989-08-01,366.8325
1989-09-01,368.6133
1989-10-01,370.2782
1989-11-01,372.3149
1989-12-01,373.9524
1990-01-01,376.0468
1990-02-01,376.1417
1990-03-01,375.7609
1990-04-01,374.5154
1990-05-01,375.8632
1990-06-01,375.2500
1990-07-01,372.0330
1990-08-01,373.5280
1990-09-01,373.7719
1990-10-01,375.0114
1990-11-01,374.6729
1990-12-01,375.9632
1991-01-01,371.7704
1991-02-01,371.4868
1991-03-01,371.6587
1991-04-01,371.1919
1991-05-01,370.7193
1991-06-01,368.8866
1991-07-01,366.2871
1991-08-01,365.4169
1991-09-01,364.4262
1991-10-01,362.1433
1991-11-01,362.0240
1991-12-01,363.1215
1992-01-01,363.0529
1992-02-01,361.5593
1992-03-01,359.8862
1992-04-01,359.0685
1992-05-01,357.3346
1992-06-01,357.1078
1992-07-01,356.0901
1992-08-01,354.4738
1992-09-01,354.3031
1992-10-01,352.4856
1992-11-01,352.5360
1992-12-01,354.1174
1993-01-01,357.4428
1993-02-01,358.8208
1993-03-01,358.9559
1993-04-01,360.0270
1993-05-01,363.2967
1993-06-01,365.1922
1993-07-01,369.7142
1993-08-01,371.9253
1993-09-01,373.0567
1993-10-01,376.9377
1993-11-01,380.6742
1993-12-01,385.1993
1994-01-01,388.2273
1994-02-01,390.9446
1994-03-01,393.5790
1994-04-01,399.1998
1994-05-01,403.7789
1994-06-01,406.9311
1994-07-01,414.6358
1994-08-01,420.5171
1994-09-01,425.6746
1994-10-01,433.0412
1994-11-01,436.0752
1994-12-01,443.2028
1995-01-01,447.8858
1995-02-01,448.5184
1995-03-01,451.3964
1995-04-01,457.3681
1995-05-01,459.8891
1995-06-01,464.1627
1995-07-01,468.5495
1995-08-01,473.3885
1995-09-01,475.3969
1995-10-01,475.1257
1995-11-01,478.0789
1995-12-01,482.8941
1996-01-01,485.4997
1996-02-01,484.6320
1996-03-01,486.7487
1996-04-01,490.7405
1996-05-01,488.7727
1996-06-01,492.6708
1996-07-01,492.4461
1996-08-01,495.7375
1996-09-01,499.7715
1996-10-01,504.9336
1996-11-01,506.4734
1996-12-01,508.9654
1997-01-01,511.9562
1997-02-01,509.3965
1997-03-01,504.5692
1997-04-01,506.0059
1997-05-01,508.6040
1997-06-01,511.5491
1997-07-01,512.5224
1997-08-01,512.7391
1997-09-01,507.0424
1997-10-01,501.2528
1997-11-01,501.3803
1997-12-01,501.3072
1998-01-01,497.9632
1998-02-01,493.2705
1998-03-01,491.6381
1998-04-01,498.7187
1998-05-01,496.2176
1998-06-01,493.8558
1998-07-01,488.9367
1998-08-01,490.4821
1998-09-01,491.4651
1998-10-01,493.9006
1998-11-01,494.8452
1998-12-01,497.7709
1999-01-01,498.3701
1999-02-01,494.8670
1999-03-01,493.9966
1999-04-01,497.1947
1999-05-01,494.5747
1999-06-01,495.2491
1999-07-01,495.0997
1999-08-01,492.2558
1999-09-01,493.7374
1999-10-01,492.5719
1999-11-01,494.5495
1999-12-01,506.3286
2000-01-01,510.1748
2000-02-01,510.8263
2000-03-01,514.6795
2000-04-01,520.3064
2000-05-01,523.9815
2000-06-01,529.5361
2000-07-01,531.0179
2000-08-01,538.4135
2000-09-01,541.9137
2000-10-01,544.0302
2000-11-01,548.6532
2000-12-01,556.0786
2001-01-01,558.8935
2001-02-01,557.8419
2001-03-01,556.9384
2001-04-01,562.0368
2001-05-01,566.0924
2001-06-01,564.6513
2001-07-01,564.9803
2001-08-01,566.1943
2001-09-01,565.2781
2001-10-01,566.2503
2001-11-01,572.2385
2001-12-01,574.9851
2002-01-01,574.6645
2002-02-01,575.9535
2002-03-01,575.0889
2002-04-01,581.1174
2002-05-01,580.7368
2002-06-01,579.1608
2002-07-01,578.9097
2002-08-01,590.048
2002-09-01,596.6935
2002-10-01,605.9721
2002-11-01,605.8611
2002-12-01,611.8598
2003-01-01,610.7418
2003-02-01,608.8815
2003-03-01,603.3567
2003-04-01,602.9033
2003-05-01,613.0187
2003-06-01,613.2894
2003-07-01,618.0895
2003-08-01,618.1537
2003-09-01,616.5122
2003-10-01,617.0879
2003-11-01,646.5872
2003-12-01,665.8508
2004-01-01,672.7504
2004-02-01,671.9127
2004-03-01,669.886
2004-04-01,672.6686
2004-05-01,676.8124
2004-06-01,679.7661
2004-07-01,679.8427
2004-08-01,682.8658
2004-09-01,684.7451
2004-10-01,683.9909
2004-11-01,680.6628
2004-12-01,692.5269
2005-01-01,694.7981
2005-02-01,691.5446
2005-03-01,693.4399
2005-04-01,694.0279
2005-05-01,691.4293
2005-06-01,692.588
2005-07-01,697.1232
2005-08-01,705.1331
2005-09-01,709.7677
2005-10-01,702.1942
2005-11-01,704.3188
2005-12-01,704.3029
2006-01-01,703.2221
2006-02-01,700.6984
2006-03-01,707.2512
2006-04-01,713.1812
2006-05-01,722.4316
2006-06-01,714.5451
2006-07-01,709.8303
2006-08-01,717.3903
2006-09-01,718.213
2006-10-01,723.3529
2006-11-01,728.4213
2006-12-01,738.4422
2007-01-01,740.4964
2007-02-01,738.3034
2007-03-01,731.6534
2007-04-01,736.8951
2007-05-01,741.6519
2007-06-01,750.315
2007-07-01,760.6129
2007-08-01,764.3926
2007-09-01,773.4051
2007-10-01,772.6439
2007-11-01,784.4049
2007-12-01,798.9355
2008-01-01,800.539
2008-02-01,797.571
2008-03-01,798.4642
2008-04-01,803.8255
2008-05-01,808.3208
2008-06-01,811.9043
2008-07-01,822.0446
2008-08-01,829.146
2008-09-01,836.8312
2008-10-01,860.4101
2008-11-01,869.4081
2008-12-01,875.7909
2009-01-01,888.0868
2009-02-01,892.634
2009-03-01,878.0574
2009-04-01,866.1674
2009-05-01,861.4465
2009-06-01,854.4788
2009-07-01,849.982
2009-08-01,849.7641
2009-09-01,847.6612
2009-10-01,842.2571
2009-11-01,841.5473
2009-12-01,835.7253
2010-01-01,819.9904
2010-02-01,812.7576
2010-03-01,886.4646
2010-04-01,1158.3427
2010-05-01,1148.5665
2010-06-01,1139.8256
2010-07-01,1136.0451
2010-08-01,1133.6625
2010-09-01,1121.4872
2010-10-01,1113.988
2010-11-01,1109.5836
2010-12-01,1107.3105
2011-01-01,1075.9515
2011-02-01,1072.696
2011-03-01,1071.2324
2011-04-01,1077.1074
2011-05-01,1075.4978
2011-06-01,1079.6303
2011-07-01,1081.3523
2011-08-01,1080.9093
2011-09-01,1079.7637
2011-10-01,1082.1804
2011-11-01,1084.1385
2011-12-01,1086.2798
2012-01-01,1086.0573
2012-02-01,1088.3686
2012-03-01,1090.7721
2012-04-01,1092.9232
2012-05-01,1100.8702
2012-06-01,1100.7958
2012-07-01,1098.364
2012-08-01,1101.1191
2012-09-01,1103.6833
2012-10-01,1104.2446
2012-11-01,1104.2574
2012-12-01,1102.6518
2013-01-01,1103.9473
2013-02-01,1109.1461
2013-03-01,1112.841
2013-04-01,1116.5155
2013-05-01,1120.5177
2013-06-01,1125.288
2013-07-01,1124.245
2013-08-01,1127.5249
2013-09-01,1130.4964
2013-10-01,1134.8196
2013-11-01,1130.6644
2013-12-01,1128.0969
2014-01-01,1130.1602
2014-02-01,1136.3193
2014-03-01,1140.1848
2014-04-01,1147.3768
2014-05-01,1154.5831
2014-06-01,1160.3581
2014-07-01,1166.0631
2014-08-01,1170.4375
2014-09-01,1175.3939
2014-10-01,1177.3616
2014-11-01,1182.5368
2014-12-01,1186.6664
2015-01-01,1187.8225
2015-02-01,1190.6878
2015-03-01,1192.9089
2015-04-01,1202.1866
2015-05-01,1208.7919
2015-06-01,1214.2699
2015-07-01,1221.4417
2015-08-01,1228.3381
2015-09-01,1236.61
2015-10-01,1244.6547
2015-11-01,1250.476
2015-12-01,1258.7781
2016-01-01,1269.2458
2016-02-01,1273.4202
2016-03-01,1284.0915
2016-04-01,1291.8792
2016-05-01,1299.444
2016-06-01,1312.7754
2016-07-01,1325.9875
2016-08-01,1333.1918
2016-09-01,1337.5135
2016-10-01,1343.9519
2016-11-01,1348.6021
2016-12-01,1355.7109
2017-01-01,1361.1918
2017-02-01,1364.048
2017-03-01,1366.8059
2017-04-01,1369.3053
2017-05-01,1372.0402
2017-06-01,1373.4185
2017-07-01,1379.7863
2017-08-01,1384.055
2017-09-01,1392.9183
2017-10-01,1408.0312
2017-11-01,1420.9783
2017-12-01,1427.3513
2018-01-01,1433.4436
2018-02-01,1436.727
2018-03-01,1442.6777
2018-04-01,1461.6023
2018-05-01,1464.7039
2018-06-01,1470.1108
2018-07-01,1472.2657
2018-08-01,1475.9566
2018-09-01,1481.7918
2018-10-01,1488.1267
2018-11-01,1493.5904
2018-12-01,1497.737
2019-01-01,1504.9133
2019-02-01,1513.2794
2019-03-01,1520.579
2019-04-01,1528.9507
2019-05-01,1536.8533
2019-06-01,1543.1956
2019-07-01,1550.2879
2019-08-01,1557.2559
2019-09-01,1562.9645
2019-10-01,1575.3943
2019-11-01,1580.5722
2019-12-01,1589.2455
2020-01-01,1595.8509
2020-02-01,1603.2757
