DATE,CSCICP03USM665S
1960-01-01,101.473920527938
1960-02-01,101.222111977768
1960-03-01,101.004571126187
1960-04-01,100.884572414011
1960-05-01,100.914868368191
1960-06-01,101.00061880746
1960-07-01,101.018732362322
1960-08-01,100.881753509959
1960-09-01,100.66938649354
1960-10-01,100.493057234039
1960-11-01,100.435863407267
1960-12-01,100.45648676282
1961-01-01,100.503939825542
1961-02-01,100.554495414648
1961-03-01,100.621786455684
1961-04-01,100.740782116232
1961-05-01,100.935028489682
1961-06-01,101.132184659492
1961-07-01,101.22684583227
1961-08-01,101.140456675638
1961-09-01,100.983719651981
1961-10-01,100.90509895935
1961-11-01,101.009672340533
1961-12-01,101.199866559947
1962-01-01,101.335627245998
1962-02-01,101.308967895196
1962-03-01,101.172952409645
1962-04-01,100.995695823798
1962-05-01,100.823721165962
1962-06-01,100.686557420102
1962-07-01,100.622913567429
1962-08-01,100.672041717174
1962-09-01,100.791580343011
1962-10-01,100.938879315543
1962-11-01,101.081914459845
1962-12-01,101.182441765156
1963-01-01,101.183415422808
1963-02-01,101.038913704294
1963-03-01,100.843618485845
1963-04-01,100.720247460412
1963-05-01,100.757779848444
1963-06-01,100.877757916783
1963-07-01,100.977086931696
1963-08-01,100.988389430428
1963-09-01,100.961008547348
1963-10-01,100.972968348589
1963-11-01,101.081617549653
1963-12-01,101.234932547544
1964-01-01,101.358547993623
1964-02-01,101.398121569634
1964-03-01,101.391398315542
1964-04-01,101.390268470787
1964-05-01,101.429122144483
1964-06-01,101.487610577438
1964-07-01,101.532366493016
1964-08-01,101.539089688729
1964-09-01,101.528365145217
1964-10-01,101.532081826189
1964-11-01,101.577299206073
1964-12-01,101.655672584695
1965-01-01,101.758809731956
1965-02-01,101.880471533758
1965-03-01,101.9940088693
1965-04-01,102.06115398805
1965-05-01,102.048936364489
1965-06-01,101.992990758139
1965-07-01,101.933037667038
1965-08-01,101.892091775526
1965-09-01,101.859677875266
1965-10-01,101.813592461359
1965-11-01,101.733133348715
1965-12-01,101.626000790567
1966-01-01,101.497487696224
1966-02-01,101.346343305842
1966-03-01,101.182017389877
1966-04-01,101.010819732434
1966-05-01,100.835261139041
1966-06-01,100.660266187055
1966-07-01,100.496073195013
1966-08-01,100.360570550569
1966-09-01,100.270831078494
1966-10-01,100.267345793684
1966-11-01,100.392494482953
1966-12-01,100.582762098406
1967-01-01,100.766127849887
1967-02-01,100.894335372399
1967-03-01,100.982064756342
1967-04-01,101.047788474616
1967-05-01,101.0951054483
1967-06-01,101.11608077799
1967-07-01,101.086134211939
1967-08-01,100.985270257028
1967-09-01,100.870230186634
1967-10-01,100.818044804364
1967-11-01,100.883763324417
1967-12-01,100.995327562675
1968-01-01,101.052838323683
1968-02-01,100.981976070587
1968-03-01,100.841475071158
1968-04-01,100.709816451905
1968-05-01,100.641559998526
1968-06-01,100.614833576182
1968-07-01,100.59958958287
1968-08-01,100.58433137177
1968-09-01,100.591357244557
1968-10-01,100.6651606547
1968-11-01,100.838546325722
1968-12-01,101.031968833257
1969-01-01,101.129542724699
1969-02-01,101.035015801185
1969-03-01,100.823591016824
1969-04-01,100.579383895687
1969-05-01,100.349777808485
1969-06-01,100.132561587179
1969-07-01,99.9098558382676
1969-08-01,99.6696493901701
1969-09-01,99.4328252682248
1969-10-01,99.2362976362569
1969-11-01,99.1127664108456
1969-12-01,99.0301753867642
1970-01-01,98.9538537297813
1970-02-01,98.8677172669812
1970-03-01,98.7892004111363
1970-04-01,98.751797449081
1970-05-01,98.7799842231288
1970-06-01,98.8230259187013
1970-07-01,98.811201172763
1970-08-01,98.6971712618822
1970-09-01,98.5522157306525
1970-10-01,98.4807456707275
1970-11-01,98.565742619053
1970-12-01,98.7407119859465
1971-01-01,98.9233870305616
1971-02-01,99.0594604177849
1971-03-01,99.1586100974112
1971-04-01,99.2389999414745
1971-05-01,99.308704089176
1971-06-01,99.3658911273748
1971-07-01,99.4020202504335
1971-08-01,99.4175545307159
1971-09-01,99.4587321030757
1971-10-01,99.5981950266449
1971-11-01,99.8899748533949
1971-12-01,100.226192846639
1972-01-01,100.459660851989
1972-02-01,100.482044001823
1972-03-01,100.404773407636
1972-04-01,100.375514961105
1972-05-01,100.494291879161
1972-06-01,100.681595101415
1972-07-01,100.812839020702
1972-08-01,100.784290909422
1972-09-01,100.635059648856
1972-10-01,100.402985216402
1972-11-01,100.101211322093
1972-12-01,99.7776012170062
1973-01-01,99.4788680564913
1973-02-01,99.2365414730244
1973-03-01,99.0280572056403
1973-04-01,98.83107762649
1973-05-01,98.6439699501639
1973-06-01,98.4947797559327
1973-07-01,98.4364957480842
1973-08-01,98.5043970353161
1973-09-01,98.5824942225958
1973-10-01,98.5082867479731
1973-11-01,98.1673243193454
1973-12-01,97.7400730131257
1974-01-01,97.4788595309897
1974-02-01,97.5711043342155
1974-03-01,97.8365169539399
1974-04-01,98.0300475936953
1974-05-01,97.9716709166009
1974-06-01,97.7480518113703
1974-07-01,97.4754839789903
1974-08-01,97.2280709486858
1974-09-01,97.0148558198841
1974-10-01,96.8392282356094
1974-11-01,96.7241334532242
1974-12-01,96.6996938717937
1975-01-01,96.8454035069253
1975-02-01,97.2416672635011
1975-03-01,97.7511909929998
1975-04-01,98.2059202007458
1975-05-01,98.4807187790836
1975-06-01,98.6218422634562
1975-07-01,98.683408145502
1975-08-01,98.6975412789663
1975-09-01,98.7240768890902
1975-10-01,98.8325905812179
1975-11-01,99.0720258715936
1975-12-01,99.3583436373047
1976-01-01,99.5804040739968
1976-02-01,99.6589661782518
