DATE,BOGZ1FA703065593Q
2017-04-01,8304.0
2017-07-01,5120.0
2017-10-01,7072.0
2018-01-01,3776.0
2018-04-01,8812.0
2018-07-01,332.0
2018-10-01,5432.0
2019-01-01,4172.0
2019-04-01,5312.0
2019-07-01,6272.0
2019-10-01,5892.0
